id,title,base_price,sold_quantity,rating_average,visits
MCO594407833,Balanza Gramera Báscula Cocina Digital Capacidad Hasta 10kg,17900,500,4.8,23033
MCO637090468,Mini Waflera Gofrera  Redonda Antiadherente Eléctrica ,44900,500,4.5,37416
MCO618122013,"Freidora De Aire Imusa Easy Fry Deluxe 4,2l Digital",389000,500,4.7,186730
MCO599259228,"Gramera Balanza De Cocina Kalley, 1g A 5kg, Garantía 2 Años",49900,500,4.6,46241
MCO616199857,Cafetera Prensa Francesa 350ml En Vidrio Borosilicato,26900,500,4.7,41001
MCO879826902,"Freidora De Aire Imusa Air Fryer Esencial 3,2 Litros Negro",249900,250,4.6,18448
MCO608296886,Gramera Digital 10 Kg 10000 Gr Balanza Bascula Electronica,16500,250,4.7,8325
MCO836823788,Pesa Báscula Gramera Balanza 500 Gr Para Joyas-alimentos,28500,500,5,5903
MCO651380319,Freidora De Aire Oster Bioceramic 4.0 L Air Fryer Nuevas,301665,250,4.9,13279
MCO550697742,Filtro Purificador De Agua A Base De Ozono + 2 Regalos,125900,500,4.7,99842
MCO533593478,Balanza Gramera De Cocina 5kg Bascula Pesa De Lujo Cristal,29900,272,4.8,46582
MCO846353153,Tosty Arepa Oster® Ckstam0513,129519,500,4.8,10735
MCO450443967,Balanza Gramera Bascula Pesa Digital  10000 Gr Tara + Pilas,16900,5000,4.7,516635
MCO844055554,Plancha De Vapor Ligera Oster,76900,200,5,2260
MCO570307352,Calentador De Ambiente Kalley ,96900,500,4.8,82906
MCO851245559,Licuadora Imusa Powermix Glass Blanco 2 Litros,99900,250,4.6,13015
MCO584762992,Adaptador Convertidor Cable Hdmi A Vga 1080p Bogotá ,17850,5000,4.8,205617
MCO614541425,Cinta Led Rgb Bluetooth  Luces Usb Tv Hogar Música  5mts ,49990,500,4.3,137099
MCO539116150,Adaptador Europeo Viajero Convertidor Universal,19800,500,4.5,53184
MCO546138353,Control Remoto Smart Samsung Genérico Bn59-01259b Nuevo,18490,500,4.6,82763
MCO546139101,Control Remoto Tv LG Smart Netflix + Forro + Pilas,16990,5000,4.6,98041
MCO464415871,Juego De Herramienta 85pz Copas Reparación Carro Moto Pretul,102990,5000,4.7,769793
MCO574335807,Reloj Termohigrometro Digital Sonda Temperatura Humedad Htc2,24999,500,4.4,35453
MCO457459278,Pistola De Calor Aire Caliente Tolsen 79791 Nueva. ,95000,500,4.8,57448
MCO518740926,Pulidora 4 -1/2 650w 12000rpm Black + Decker G650-b3,139900,500,4.6,55824
MCO603585723,Kit Destornilladores De Precision Celulares 25 En 1,19000,500,4.9,59904
MCO831606150,Bomba Fumigadora O Cacorro Aspersor Manual De 16 Litros ,70000,555,4.7,18410
MCO482788281,Grapadora Industrial Tapicería Trabajo + 1000 Grapas,39900,252,4.6,82583
MCO550631358,Soldador Inversor,379000,500,4.7,53581
MCO837639842,Mototool Mini Taladro + Base De Mesa+ Guia De Corte+ 117pcs,149000,250,4.9,24012
MCO868132248,Careta Para Soldar Inteligente Fenix Furius Fw33,79900,250,4.9,7276
MCO609158622,Medidor Ph Digital Phmetro Agua Líquidos Vino Sobres Pilas,37990,500,4.1,13048
MCO599797355,Juego De Copas 51 Piezas Ratchet Profesional Pretul,73990,500,4.6,95044
MCO493618665,Taladro Percutor 550w + Accesorios Black & Decker 1/2 Hd565k,214990,250,4.9,36100
MCO596025951,Hidrolavadora Eléctrica Takima 1200w 1300psi  Altapresión   ,232000,500,4.7,241784
MCO534176209,"Multimetro Digital Uni-t Ut33c+, Temperatura, Tester",73256,500,4.8,162535
MCO817683769,Gafas Lupa Diadema Luz Led  + 5 Lentes Aumento + Correa ,48300,250,4.9,6427
MCO536523458,Dispensador Automático De Agua Para Botellón Recargable,19900,650,4.4,312042
MCO838111286,Cobija Térmica Ovejera Gigante Cama Doble/queen 230cmx190cm,85467,1770,4.3,55709
MCO502633990,Camara Ip Wifi Vision Nocturna  2mpx 3 Antenas Lee Micro,80400,5000,4.4,243551
MCO496317241,Filtro Purificador De Agua Bioenergetico 14 Lts 99.9% Pura,99800,500,4.6,63195
MCO652645655,Cobija Térmica Ovejera Gigante Cama Doble 230cmx190cm,87000,1565,4.6,98417
MCO651877459,Tapon Puerta Burlete Sello Insectos Polvo Olores Ruidos ,19500,1500,4.5,22586
MCO583631476,Super Promo!!!! Set 4 Repisas Flotantes | Decoracion Moderna,34500,1529,4.6,260121
MCO617352204,Organizador Zapatos X 12 Zapatero Acomodador Plástico,45900,1000,4.8,28926
MCO614449422,Tapete Alfombra Peluda | Tapete Peluche Grande | 230×150 Cm,134000,1943,4.5,153871
MCO585507417,Camara Ip De Seguridad Vigilancia Exterior 1080 Domo 360 Ptz,159990,500,4.3,106160
MCO610867983,Bombillo Led Wi-fi (inteligente) Compatib Con Google Y Alexa,40000,5000,4.8,92250
MCO628756280,Jabón Potásico Aceite De Neem ,29990,500,4.6,32931
MCO611822624,"Protector Sofa, Forro, Mueble, Doble Faz 3 Puestos",75905,1562,4.6,52962
MCO566712642,Juego De Sabanas Doble Supersoft,44900,1610,4.5,146838
